id,name,type,group,executionlevel,queuestate,createlevel,movelevel,controllevel,queue,breakfinsh,interactivefunc
1,砸鸭子,1,,,,1,,,,,
2,左边砸平底锅,1,,,,1,,,,,
3,右边砸平底锅,1,,,,1,,,,,
4,视角反转,1,,,,1,,,,,
5,冰冻,3,,,,,,1,,,
6,无敌护盾,3,,,,,,11,,,
7,左正蹬,2,,,,,1,,,,
8,右鞭腿,2,,,,,1,,,,
9,麒麟臂,2,,,,,2,,,,
10,天残脚,2,,,,,2,,,,
11,撞大运,2,,,,,2,,,,
12,莎士比亚,2,,,,,1,,,,
13,大贝塔,3,1,2,,,,2,1,,
14,反向大贝塔,3,1,2,,,,2,1,,
15,电击,1,,,,,1,,,,
16,彩虹猫,1,,,,1,,,,,
17,番茄连招,1,,,,1,,,,,
18,Boom,2,,,,,1,,,,
19,呸,1,,,,1,,,,,
20,导弹,1,,,,1,,,,,
21,隐身,1,,,,1,,,,,
22,加速,1,,,,1,,,,,
23,减速,1,,,,1,,,,,
24,啄木鸟,2,,,,,1,,,,
25,砸落头像,1,,,,1,,,,,
26,打台球,2,,,,,2,,,,
27,大巴掌,2,,,,,2,,,,
28,一阳指,2,,,,,2,,,,
29,乌萨奇,2,,,,,1,,,,
30,传送第七关,1,,,,1,,,,,
31,扔香蕉,1,,,,1,,,,,
32,吐口水一,2,,,,,1,,,,
33,吐口水二,2,,,,,1,,,,
34,吐口水三,2,,,,,1,,,,
35,吐口水四,2,,,,,1,,,,
36,吐口水五,2,,,,,1,,,,
37,动物怎么叫,1,,,,1,,,,,
38,火圈,1,,,,1,,,,,
39,禁言,1,,,,1,,,,,
40,跑快点,2,,,,,2,,,,
41,退退退,2,,,,,2,,,,
42,美女盲盒,1,,,,1,,,,,
43,动感DJ,1,,,,1,,,,,
44,上吊,3,1,3,,,,3,1,,
45,加一万米,1,,,,1,,,,,
46,减一万米,1,,,,1,,,,,
47,大兵报道,3,1,1,,,,1,,,
48,乌鸦坐飞机,1,,,,1,,,,,
49,灵魂拷问,3,,1,,,,1,,,
50,埋坟,3,1,9,,,,9,,,
51,万剑齐发,1,,,,1,,,,,
52,锁链,3,1,8,,,,8,,,
53,一库,2,,,,,1,,,,
54,打板子,3,1,4,,,,4,,,
55,帅哥盲盒,1,,,,1,,,,,
56,抓（1）,2,,,,,1,,,,
57,抓（2）,2,,,,,1,,,,
58,抓（11）,2,,,,,1,,,,
59,抓（15）,2,,,,,1,,,,
60,抓（20）,2,,,,,1,,,,
61,抓（40）,2,,,,,1,,,,
62,抓（50）,2,,,,,1,,,,
63,抓（80）,2,,,,,1,,,,
64,抓（100）,2,,,,,1,,,,
65,抓（200）,2,,,,,1,,,,
66,抓（500）,2,,,,,1,,,,
67,抓（1000）,2,,,,,1,,,,
68,抓（2000）,2,,,,,1,,,,
69,抓（3000）,2,,,,,1,,,,
70,抓（4000）,2,,,,,1,,,,
71,抓（5000）,2,,,,,1,,,,
72,抓（6000）,2,,,,,1,,,,
73,抓（7000）,2,,,,,1,,,,
74,抓（8000）,2,,,,,1,,,,
75,抓（9000）,2,,,,,1,,,,
76,抓（10000）,2,,,,,1,,,,
77,跳绳,3,1,7,,,,7,,,
78,跳绳盲盒,3,1,7,,,,7,,,
79,擦皮鞋,3,1,5,,,,5,,,
80,顶乌龟,1,,,,,1,,,,
81,补蛋盲盒,3,1,6,,,,6,2,,
82,减蛋盲盒,1,,,,1,,,,,
83,打电话,1,,,,1,,,,,
84,没（随机）,2,,,,,1,,,,
